
Serial Parallel Tempering
Iter   Path   Time
1000  1449.0  0.65320110321
1000  1276.0  0.613309860229
1000  1276.0  0.673056840897
1000  1276.0  0.581169843674
1000  1269.0  0.620064020157
1000  1269.0  0.639807939529
1000  1269.0  0.613613128662
1000  1270.0  0.575006008148
1000  1218.0  0.59413599968
1000  1218.0  0.596755027771
10000  1162.0  5.95176196098
10000  1118.0  6.2980120182
10000  1115.0  6.20979595184
10000  1124.0  6.04492592812
10000  1078.0  6.0377099514
10000  1059.0  6.89271497726
10000  1010.0  5.98219203949
10000  975.0  5.9695289135
10000  975.0  6.10024404526
10000  994.0  6.28981494904
100000  968.0  62.521324873
100000  981.0  52.1465220451
100000  953.0  58.4143149853
100000  959.0  71.0727188587
100000  953.0  63.0132319927
100000  953.0  81.3427610397
100000  958.0  66.1177787781
100000  955.0  66.2998850346
100000  961.0  67.1730809212
100000  968.0  63.2957758904
1000000  953.0  641.333249092
1000000  953.0  606.468943834
1000000  955.0  538.14389205
1000000  953.0  592.584913015
1000000  953.0  477.666661978
1000000  953.0  406.199093103
1000000  937.0  404.042275906
1000000  937.0  404.245396137
1000000  937.0  403.978694916
1000000  937.0  404.528859854

Parallel Parallel Tempering
Iter   Path   Time
1000  943.0  2.84370803833
1000  943.0  0.272791862488
1000  943.0  0.268830060959
1000  943.0  0.26061797142
1000  943.0  0.265432834625
1000  943.0  0.264955043793
1000  943.0  0.263382911682
1000  943.0  0.265483856201
1000  943.0  0.264165878296
1000  943.0  0.266435146332
10000  943.0  2.46324014664
10000  943.0  2.47946596146
10000  943.0  2.44455099106
10000  943.0  2.57958197594
10000  943.0  2.49618005753
10000  943.0  2.49239802361
10000  943.0  2.47998404503
10000  943.0  2.51366901398
10000  943.0  2.47511792183
10000  943.0  2.48949790001
100000  941.0  24.5374720097
100000  941.0  24.7651519775
100000  941.0  24.8175120354
100000  941.0  24.7352621555
100000  941.0  24.6755759716
100000  941.0  24.7958269119
100000  941.0  24.7376890182
100000  941.0  24.921225071
100000  941.0  24.875385046
100000  941.0  25.2307839394
1000000  937.0  245.119831085
1000000  937.0  252.257998943
1000000  937.0  252.520467043
1000000  937.0  253.504901886
1000000  937.0  254.434803009
1000000  937.0  257.364698887
1000000  937.0  254.140221834
1000000  937.0  252.439262867
1000000  937.0  252.335860968
1000000  937.0  253.053677082
